तू बिल्कुल बेकार है అని అంటారు,"Bullying,"
तू बिल्कुल बेकार है అని అందరికీ తెలుసు,"Bullying,"
तू बिल्कुल बेकार है అని చెప్పాలి,"Bullying,"
तू बिल्कुल बेकार है అని అనిపిస్తుంది,"Bullying,"
तू बिल्कुल बेकार है అని స్పష్టంగా ఉంది,"Bullying,"
तेरी कोई औकात नहीं అని అంటారు,"Bullying,"
तेरी कोई औकात नहीं అని అందరికీ తెలుసు,"Bullying,"
तेरी कोई औकात नहीं అని చెప్పాలి,"Bullying,"
तेरी कोई औकात नहीं అని అనిపిస్తుంది,"Bullying,"
तेरी कोई औकात नहीं అని స్పష్టంగా ఉంది,"Bullying,"
तुझसे कुछ नहीं होगा అని అంటారు,"Bullying,"
तुझसे कुछ नहीं होगा అని అందరికీ తెలుసు,"Bullying,"
तुझसे कुछ नहीं होगा అని చెప్పాలి,"Bullying,"
तुझसे कुछ नहीं होगा అని అనిపిస్తుంది,"Bullying,"
तुझसे कुछ नहीं होगा అని స్పష్టంగా ఉంది,"Bullying,"
तू सबसे फेल इंसान है అని అంటారు,"Bullying,"
तू सबसे फेल इंसान है అని అందరికీ తెలుసు,"Bullying,"
तू सबसे फेल इंसान है అని చెప్పాలి,"Bullying,"
तू सबसे फेल इंसान है అని అనిపిస్తుంది,"Bullying,"
तू सबसे फेल इंसान है అని స్పష్టంగా ఉంది,"Bullying,"
तेरा दिमाग काम नहीं करता అని అంటారు,"Bullying,"
तेरा दिमाग काम नहीं करता అని అందరికీ తెలుసు,"Bullying,"
तेरा दिमाग काम नहीं करता అని చెప్పాలి,"Bullying,"
तेरा दिमाग काम नहीं करता అని అనిపిస్తుంది,"Bullying,"
तेरा दिमाग काम नहीं करता అని స్పష్టంగా ఉంది,"Bullying,"
तू समाज पर बोझ है అని అంటారు,"Bullying,"
तू समाज पर बोझ है అని అందరికీ తెలుసు,"Bullying,"
तू समाज पर बोझ है అని చెప్పాలి,"Bullying,"
तू समाज पर बोझ है అని అనిపిస్తుంది,"Bullying,"
तू समाज पर बोझ है అని స్పష్టంగా ఉంది,"Bullying,"
तू हमेशा गलती करता है అని అంటారు,"Bullying,"
तू हमेशा गलती करता है అని అందరికీ తెలుసు,"Bullying,"
तू हमेशा गलती करता है అని చెప్పాలి,"Bullying,"
तू हमेशा गलती करता है అని అనిపిస్తుంది,"Bullying,"
तू हमेशा गलती करता है అని స్పష్టంగా ఉంది,"Bullying,"
